source,title,description,url,date,collected_at
"DER Sénégal","Notre mission","[rev_slider alias=""blur-effect-slider""][/rev_slider] Notre missionCréée par décret n° 2017-2123 du 15 novembre 2017, la Délégation générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) a pour mission l’impulsion et la promotion de l’entreprenariat des femmes et des jeunes, à travers notamment : La définition et la mise en œuvre de stratégies de promotion de l’auto-emploi de","https://www.der.sn/la-der-fj/","11 août 2026","2026-09-01T13:05:16.978Z"
"DER Sénégal","PAVIE: AVIS À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-avis-a-manifestation-dinteret/","","2026-09-01T13:05:16.979Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-appel-a-manifestation-dinteret-3/","","2026-09-01T13:05:16.979Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | À la une, Appels à manifestation d'intérêt","https://www.der.sn/pavie-appel-a-manifestation-dinteret-2/","","2026-09-01T13:05:16.980Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-appel-a-manifestation-dinteret/","","2026-09-01T13:05:16.980Z"
"DER Sénégal","𝐏𝐀𝐀𝐈𝐂𝐄: 𝐀𝐯𝐢𝐬 𝐝’𝐀𝐩𝐩𝐞𝐥 𝐝’𝐎𝐟𝐟𝐫𝐞𝐬","Juin 23, 2025 | À la une, Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/%f0%9d%90%8f%f0%9d%90%80%f0%9d%90%80%f0%9d%90%88%f0%9d%90%82%f0%9d%90%84-%f0%9d%90%80%f0%9d%90%af%f0%9d%90%a2%f0%9d%90%ac-%f0%9d%90%9d%f0%9d%90%80%f0%9d%90%a9%f0%9d%90%a9%f0%9d%90%9e/","","2026-09-01T13:05:16.980Z"
"ARCOP (ex-ARMP) Sénégal","SAVE THE DATE : La Guinée sollicite l’expertise du Sénégal dans sa transition vers l’ARCOP","Une délégation de onze membres de l’Autorité de régulation des marchés publics de Guinée, de la Direction générale du contrôle des marchés, du Conseil (...)","https://www.achatspublics.sn/","","2026-09-01T13:05:21.979Z"
"ARCOP (ex-ARMP) Sénégal","SAVE THE DATE : La Guinée sollicite l’expertise du Sénégal dans sa transition vers l’ARCOP","Une délégation de onze membres de l’Autorité de régulation des marchés publics de Guinée, de la Direction générale du contrôle des marchés, du Conseil (...)","https://arcop.sn/2026/08/31/save-the-date-la-guinee-sollicite-lexpertise-du-senegal-dans-sa-transition-vers-larcop/","","2026-09-01T13:05:21.980Z"
"ARCOP (ex-ARMP) Sénégal","PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)","https://arcop.sn/2026/08/24/ppp-et-fonds-de-placement-a-risque-la-transparence-autre-condition-de-linvestissement-prive/","","2026-09-01T13:05:21.980Z"
"ARCOP (ex-ARMP) Sénégal","NOUVEL ORGANIGRAMME DE L’ARCOP : Une architecture pour porter le Renouveau de la commande publique","En réorganisant ses structures autour du numérique, de la régulation, de la performance, de la professionnalisation, des partenariats public privé (PPP), des achats publics (...)","https://arcop.sn/2026/08/24/nouvel-organigramme-de-larcop-une-architecture-pour-porter-le-renouveau-de-la-commande-publique/","","2026-09-01T13:05:21.980Z"
"Banque Mondiale","NDIDS OFFICE SCREENS/MONITORS","Samoa","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00448346","August 31, 2026","2026-09-01T13:05:46.506Z"
"Banque Mondiale","NDIDS OFFICE SERVER","Samoa","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00448347","August 31, 2026","2026-09-01T13:05:46.506Z"
"Banque Mondiale","Consultancy Services for Procurement of Software Development, Update, and Maintenance Support Services for the Infectious Disease Surveillance and Early Warning System (İzci) Web and Mobile Applicatio","Turkiye","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00460434","August 31, 2026","2026-09-01T13:05:46.506Z"
"Banque Mondiale","RH 2 - Empresa de consultoria para realização de diagnóstico arquivístico, dimensionamento da massa documental, elaboração da estratégia tecnológica e apoio técnico à futura contratação de serviços de","Brazil","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00461095","August 31, 2026","2026-09-01T13:05:46.507Z"
"Banque Mondiale","Design and Supervision of the NPHRL Building","Guyana","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00461136","August 31, 2026","2026-09-01T13:05:46.507Z"
"Banque Mondiale","Diseño y Rehabilitación de la Planta de Tratamiento de Nacaome, PTAP Nacaome.","Honduras","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00461433","August 31, 2026","2026-09-01T13:05:46.508Z"
"Banque Mondiale","Contratação de uma empresa para construir a estrategia e planos de comunicação","Angola","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00462683","August 31, 2026","2026-09-01T13:05:46.508Z"
"Banque Mondiale","RAF - Recrutement d'un Responsable Administratif et financier du Projet de Corridor Economique Douala - Bangui","Central Africa","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465184","August 31, 2026","2026-09-01T13:05:46.509Z"
"Banque Mondiale","SPM - Recrutement d'un Expert en Passation des Marchés chargé de la mise en oeuvre des activités du Projet de Corridor Economique Bangui - Douala.","Central Africa","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465189","August 31, 2026","2026-09-01T13:05:46.509Z"
"Banque Mondiale","Études et contrôle techniques du programme d’investissements d’urgences du chemin de fer de l’axe Abidjan Ouagadougou","Burkina Faso","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465584","August 31, 2026","2026-09-01T13:05:46.509Z"
"Banque Mondiale","Printing the FQS training tools and manual for distribution (DEQA) and SBG Manual (DoF)","Lao People's Democratic Republic","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465829","August 31, 2026","2026-09-01T13:05:46.510Z"
"Banque Mondiale","NDIDS OFFICE LAPTOP COMPUTERS","Samoa","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465830","August 31, 2026","2026-09-01T13:05:46.510Z"
"Banque Mondiale","Procurement of data processing equipment (Laptop and Printer) for Operational Support and Coordination","Indonesia","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465834","August 31, 2026","2026-09-01T13:05:46.510Z"
"Banque Mondiale","Procurement of office equipment and furniture for PIG Lot 1 - Office Equipment Lot 2 - Office Furniture","Tajikistan","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465835","August 31, 2026","2026-09-01T13:05:46.511Z"
"Banque Mondiale","Consultancy Services for a Framework Agreement to Provide Environmental and Social Impact Assessment (ESIA) and Resettlement Action Plan (RAP)","Eastern and Southern Africa","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465837","August 31, 2026","2026-09-01T13:05:46.511Z"
"Banque Mondiale","Recrutement d'un prestataire pour communications dans es station TV et Radios","Southwest Indian Ocean","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465838","August 31, 2026","2026-09-01T13:05:46.511Z"
"Banque Mondiale","Procurement of Furniture items for EOC building","India","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465840","August 31, 2026","2026-09-01T13:05:46.511Z"
"Banque Mondiale","Supply and Delivery of Steel Cupboards for the Welfare Benefits Information Units at Districts and Divisional Secretariats","Sri Lanka","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465842","August 31, 2026","2026-09-01T13:05:46.512Z"
"Banque Mondiale","Location de locaux à usage de bureau du Projet RIZPLUS","Madagascar","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465843","August 31, 2026","2026-09-01T13:05:46.512Z"
"Banque Mondiale","Procurement of a Remotely Operating Vehicle (with modular equipment)","Maldives","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465847","August 31, 2026","2026-09-01T13:05:46.512Z"
"BAD - Banque Africaine de Développement","P-Z1-DB0-202","MULTINATIONAL NACALA ROAD CORRIDOR DEVELOPMENT PROJECT PHASE V - MALAWI","https://www.afdb.org/en/projects-and-operations/p-z1-db0-202","19-Jun-2019","2026-09-01T13:06:03.717Z"
"BAD - Banque Africaine de Développement","P-LS-E00-007","CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE RURAL WATER SUPPLY IN LOWLANDS LESOTHO","https://www.afdb.org/en/projects-and-operations/p-ls-e00-007","30-May-2019","2026-09-01T13:06:03.718Z"
"BAD - Banque Africaine de Développement","P-GA-E00-001","PROGRAMME INTÉGRÉ D'ALIMENTATION EN EAU POTABLE ET ASSAINISSEMENT DE LIBREVILLE SOUS-PROGRAMME 1","https://www.afdb.org/en/projects-and-operations/p-ga-e00-001","10-Jan-2019","2026-09-01T13:06:03.718Z"
"BAD - Banque Africaine de Développement","P-DZ-KF0-003","APPUI GOUVERNANCE ENTREPRISES PUBLIQUES ET DES PARTICIPATIONS DE L'ETAT","https://www.afdb.org/en/projects-and-operations/p-dz-kf0-003","18-Dec-2018","2026-09-01T13:06:03.719Z"
"BAD - Banque Africaine de Développement","P-UG-EB0-007","PREPARATION OF FEASIBILITY STUDIES AND DETAILED DESIGNS FOR FAECAL SLUDGE SERVICE CHAIN MANAGEMENT","https://www.afdb.org/en/projects-and-operations/p-ug-eb0-007","18-Dec-2018","2026-09-01T13:06:03.720Z"
"BAD - Banque Africaine de Développement","P-SD-AAZ-009","DAL GROUP CO LTD(FOOD AND AGRICULTURAL INVESTMENT PROGRAMME)","https://www.afdb.org/en/projects-and-operations/p-sd-aaz-009","14-Dec-2018","2026-09-01T13:06:03.720Z"
"BAD - Banque Africaine de Développement","P-LR-HAB-002","TRADE FINANCE LINE OF CREDIT INTERNATIONAL BANK LIBERIA LIMITED","https://www.afdb.org/en/projects-and-operations/p-lr-hab-002","14-Dec-2018","2026-09-01T13:06:03.721Z"
"BAD - Banque Africaine de Développement","P-LR-HAB-001","TRADE FINANCE LINE OF CREDIT LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT","https://www.afdb.org/en/projects-and-operations/p-lr-hab-001","14-Dec-2018","2026-09-01T13:06:03.725Z"
"BAD - Banque Africaine de Développement","P-Z1-FA0-162","SUPPLEMENTARY FINANCING : ETHIOPIA - KENYA ELECTRICITY HIGHWAY (KENYA)","https://www.afdb.org/en/projects-and-operations/p-z1-fa0-162","14-Dec-2018","2026-09-01T13:06:03.726Z"
"BAD - Banque Africaine de Développement","P-Z1-F00-077","NELSAP BURUNDI – RWANDA INTERCONNECTION","https://www.afdb.org/en/projects-and-operations/p-z1-f00-077","14-Dec-2018","2026-09-01T13:06:03.726Z"
"BAD - Banque Africaine de Développement","P-Z1-DD0-022","STUDIES AND PPP STRUCTURING FOR THE CONSTRUCTION OF SÃO TOMÉ DEEP SEA TRANSSHIPMENT PORT","https://www.afdb.org/en/projects-and-operations/p-z1-dd0-022","14-Dec-2018","2026-09-01T13:06:03.727Z"
"BAD - Banque Africaine de Développement","P-Z1-DD0-021","FEASIBILITY STUDY OF A DEEP SEA PORT IN THE NORTH-WEST REGION OF THE REPUBLIC OF GUINEA","https://www.afdb.org/en/projects-and-operations/p-z1-dd0-021","14-Dec-2018","2026-09-01T13:06:03.727Z"
"BAD - Banque Africaine de Développement","P-Z1-DD0-020","FEASIBILITY STUDY OF THE DEEP SEA PORT IN GUINEA-BISSAU","https://www.afdb.org/en/projects-and-operations/p-z1-dd0-020","14-Dec-2018","2026-09-01T13:06:03.728Z"
"BAD - Banque Africaine de Développement","P-RW-E00-012","RWANDA SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM ADDITIONAL FINANCING","https://www.afdb.org/en/projects-and-operations/p-rw-e00-012","14-Dec-2018","2026-09-01T13:06:03.728Z"
"BAD - Banque Africaine de Développement","P-NG-KA0-004","NIGERIA - AFRICAN TRADE INSURANCE (ATI) COUNTRY MEMBERSHIP PROGRAMME","https://www.afdb.org/en/projects-and-operations/p-ng-ka0-004","14-Dec-2018","2026-09-01T13:06:03.728Z"
