source,title,description,url,date,collected_at
"ARCOP (ex-ARMP) Sénégal","SAVE THE DATE : La Guinée sollicite l’expertise du Sénégal dans sa transition vers l’ARCOP","Une délégation de onze membres de l’Autorité de régulation des marchés publics de Guinée, de la Direction générale du contrôle des marchés, du Conseil (...)","https://www.achatspublics.sn/","","2026-09-03T13:05:24.888Z"
"ARCOP (ex-ARMP) Sénégal","SAVE THE DATE : La Guinée sollicite l’expertise du Sénégal dans sa transition vers l’ARCOP","Une délégation de onze membres de l’Autorité de régulation des marchés publics de Guinée, de la Direction générale du contrôle des marchés, du Conseil (...)","https://arcop.sn/2026/08/31/save-the-date-la-guinee-sollicite-lexpertise-du-senegal-dans-sa-transition-vers-larcop/","","2026-09-03T13:05:24.889Z"
"ARCOP (ex-ARMP) Sénégal","PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)","https://arcop.sn/2026/08/24/ppp-et-fonds-de-placement-a-risque-la-transparence-autre-condition-de-linvestissement-prive/","","2026-09-03T13:05:24.892Z"
"ARCOP (ex-ARMP) Sénégal","NOUVEL ORGANIGRAMME DE L’ARCOP : Une architecture pour porter le Renouveau de la commande publique","En réorganisant ses structures autour du numérique, de la régulation, de la performance, de la professionnalisation, des partenariats public privé (PPP), des achats publics (...)","https://arcop.sn/2026/08/24/nouvel-organigramme-de-larcop-une-architecture-pour-porter-le-renouveau-de-la-commande-publique/","","2026-09-03T13:05:24.893Z"
"Banque Mondiale","Contratação para pesquisas de ""OD"" e estudos de demanda (incluindo mobilidade de mulheres e minorias), macro/microssimulações (Foz do Rio Itajaí, BRT e túnel imerso), além de estudos de engenharia e i","Brazil","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00451667","September 2, 2026","2026-09-03T13:06:04.890Z"
"Banque Mondiale","Design and Supervision of the NPHRL Building","Guyana","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00461136","September 2, 2026","2026-09-03T13:06:04.890Z"
"Banque Mondiale","Common software solution for billing, cashing, meter reading and business intelligence for AKUK and regional water and sewerage utilities","Albania","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00462156","September 2, 2026","2026-09-03T13:06:04.890Z"
"Banque Mondiale","Annual email marketing platform subscription for the CARMC Project","Ukraine","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00462369","September 2, 2026","2026-09-03T13:06:04.891Z"
"Banque Mondiale","Supporting the Introduction and Operationalization of Care Manager Services in Uzbekistan","Uzbekistan","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00463221","September 2, 2026","2026-09-03T13:06:04.891Z"
"Banque Mondiale","PROCUREMENT AND BRANDING OF IEC MATERIALS","Nigeria","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00463987","September 2, 2026","2026-09-03T13:06:04.892Z"
"Banque Mondiale","Recrutement d’un Consultant International pour la mise en place du dispositif de la Validation des Acquis de l’Expérience (VAE) au Burundi.","Burundi","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00466271","September 2, 2026","2026-09-03T13:06:04.892Z"
"Banque Mondiale","22 Employment Counsellors for Public Employment Services Electronic Labour Exchange","Jamaica","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00466303","September 2, 2026","2026-09-03T13:06:04.893Z"
"Banque Mondiale","Acquisition des kits scolaires aux enfants vulnérables du Préscolaire, du fondamental et du post fondamental des provinces Buhumuza et Butanyerera (2 lots)","Burundi","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00466314","September 2, 2026","2026-09-03T13:06:04.893Z"
"Banque Mondiale","Procurement of construction of Solar Powered Pipe Scheme Project in Dokohy and Pyaro Villages in Ab Band District, Ghazni Province","Afghanistan","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00466339","September 2, 2026","2026-09-03T13:06:04.894Z"
