id,source,source_type,title,description,url,date_original,date_normalized,country,sectors,has_description,has_date,quality_score,collected_at,target_audience,experience_required,budget_range,urgency,complexity_level,suggested_profiles
276988bdd6ac,Banque Mondiale,international,Quality Assurance Expert,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00453960,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.035Z,Tout public,Expert,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
d4573e06411a,Banque Mondiale,international,UCP/Recrutement d'une Firme d'Audit pour le PReGeFIP,Haiti,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00454954,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.035Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
4281d757e630,Banque Mondiale,international,ECPE Model Diversification Expert,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455611,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.035Z,Tout public,Expert,Non spécifié,Normale,1,
67641c889e43,Banque Mondiale,international,Data Analyst Expert,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455613,"August 28, 2026",,International,non classifié,oui,non,35,2026-08-31T10:00:40.035Z,Tout public,Expert,Non spécifié,Normale,1,
16374fc89981,Banque Mondiale,international,"Consultoria técnica especializada para atuação como ENGENHEIRO, conforme condições de contrato do Livro Amarelo (Yellow Book) FIDIC, Segunda Edição, 2017, para os Serviços e Obras de Engenharia do Pro",Brazil,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00459178,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,
6fe5f195ddaa,Banque Mondiale,international,"Transfo distribution - Fourniture de transformateurs, cellules et batteries de compensation aux postes de distribution HTA;",Central African Republic,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00459524,"August 28, 2026",,Afrique,"technologie, gouvernance",oui,non,65,2026-08-31T10:00:40.036Z,Public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_gouvernance, consultant_public, administrateur, expert_afrique_ouest"
f933aab66a80,Banque Mondiale,international,Procurement of 6 Tractors with Implements,Eastern and Southern Africa,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00461413,"August 28, 2026",,Afrique,technologie,oui,non,65,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
892e9697994e,Banque Mondiale,international,Consultancy Services for Establishment and Operationalisation of Supervisory Boards in Vocational Education Institutions,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00462495,"August 28, 2026",,International,"éducation, technologie",oui,non,55,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_education, consultant_formation, pedagogie, expert_tech, consultant_digital, developpeur, it_manager"
fa796e3fa46c,Banque Mondiale,international,"Consultancy Services for undertaking Field Assessment, Detailed Engineering Design and Preparation of Procurement Documents for Rehabilitation of Railway Track and Structures (Bridge & Culverts) along",Tanzania,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00464838,"August 28, 2026",,Sénégal,technologie,oui,non,65,2026-08-31T10:00:40.036Z,ONG/Association,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
fa3c86db49e5,Banque Mondiale,international,"Consultancy services for the system identification study, detailed designs and tender documents preparation for the SMART Corridor.",Zambia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465182,"August 28, 2026",,Sénégal,non classifié,oui,non,55,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
97dd83c8c368,Banque Mondiale,international,"Procurement of Pick Up (Phase 2) for Upstream Waste Collection Facilities in the Purwakarta Regency, Karawang Regency, Cianjur Regency and Depok City",Indonesia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465416,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.037Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
e1703bd9cba4,Banque Mondiale,international,"Procurement of Pick Up (Phase 2) for Upstream Waste Collection Facilities in the Purwakarta Regency, Karawang Regency, Cianjur Regency and Depok City",Indonesia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465418,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.037Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
87514ac552d5,Banque Mondiale,international,"Consulting Service for development of solid waste regulatory framework, waste classification, collection service performance indicators, landfill management and operation performance indicators, moni",Cambodia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465419,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.037Z,PME,Confirmé,Non spécifié,Normale,1,"consultant_pme, accompagnement_startup"
865faaef3528,Banque Mondiale,international,Supervision of the Optimization of TPST Facilities in Region I BPBPK West Java,Indonesia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465420,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.037Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
919b95c66ad9,Banque Mondiale,international,"Procurement of equipment related to the implementation of waste classification activities in Gaojiazhen, Shensong Mountain Village of Shennong Town, and the urban village of Shennong Town",China,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465421,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.037Z,PME,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, consultant_pme, accompagnement_startup"
6a2fa9d451fd,Banque Mondiale,international,"All in one bid for Construction of 1 No Jhora Water Management System including supply of all materials at Mouza-Lingshey Khasmahal in the district of Kalimpong under DPMU, Kalimpong,WBADMIP",India,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465422,"August 28, 2026",,Sénégal,"infrastructure, eau",oui,non,65,2026-08-31T10:00:40.037Z,ONG/Association,Confirmé,Non spécifié,Normale,2,"ingenieur_civil, architecte, expert_infrastructure, ingenieur_hydraulique, expert_eau, environnement, expert_afrique_ouest"
1bbeac5e367c,Banque Mondiale,international,"All in one bid for Construction of 1 No Jhora Water Management System including supply of all materials at Mouza- Maria Khasmahal in the district of Kalimpong under DPMU, Kalimpong,WBADMIP",India,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465423,"August 28, 2026",,Sénégal,"infrastructure, eau",oui,non,65,2026-08-31T10:00:40.038Z,ONG/Association,Confirmé,Non spécifié,Normale,2,"ingenieur_civil, architecte, expert_infrastructure, ingenieur_hydraulique, expert_eau, environnement, expert_afrique_ouest"
7d7ef95b9f2c,Banque Mondiale,international,Provision of improved seeds for Demonstration,Eastern and Southern Africa,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465424,"August 28, 2026",,Afrique,non classifié,oui,non,55,2026-08-31T10:00:40.038Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
42c26566257f,BAD - Banque Africaine de Développement,international,P-Z1-DB0-202,MULTINATIONAL NACALA ROAD CORRIDOR DEVELOPMENT PROJECT PHASE V - MALAWI,https://www.afdb.org/en/projects-and-operations/p-z1-db0-202,19-Jun-2019,,Afrique,non classifié,oui,non,55,2026-08-31T10:00:53.978Z,PME,Confirmé,Non spécifié,Normale,2,"expert_afrique_ouest, consultant_pme, accompagnement_startup"
f55e1492a15d,BAD - Banque Africaine de Développement,international,P-LS-E00-007,CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE RURAL WATER SUPPLY IN LOWLANDS LESOTHO,https://www.afdb.org/en/projects-and-operations/p-ls-e00-007,30-May-2019,,Afrique,"agriculture, eau, environnement",oui,non,65,2026-08-31T10:00:53.978Z,Tout public,Confirmé,Non spécifié,Normale,2,"expert_agriculture, consultant_agro, ingenieur_agronome, ingenieur_hydraulique, expert_eau, environnement, expert_environnement, consultant_climat, eco_conseiller, expert_afrique_ouest"
0b147320b95f,BAD - Banque Africaine de Développement,international,P-GA-E00-001,PROGRAMME INTÉGRÉ D'ALIMENTATION EN EAU POTABLE ET ASSAINISSEMENT DE LIBREVILLE SOUS-PROGRAMME 1,https://www.afdb.org/en/projects-and-operations/p-ga-e00-001,10-Jan-2019,,Afrique,eau,oui,non,65,2026-08-31T10:00:53.978Z,Tout public,Confirmé,Non spécifié,Normale,1,"ingenieur_hydraulique, expert_eau, environnement, expert_afrique_ouest"
e8459966c6ee,BAD - Banque Africaine de Développement,international,P-DZ-KF0-003,APPUI GOUVERNANCE ENTREPRISES PUBLIQUES ET DES PARTICIPATIONS DE L'ETAT,https://www.afdb.org/en/projects-and-operations/p-dz-kf0-003,18-Dec-2018,,Afrique,gouvernance,oui,non,65,2026-08-31T10:00:53.979Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_gouvernance, consultant_public, administrateur, expert_afrique_ouest"
54b53ff0e759,BAD - Banque Africaine de Développement,international,P-UG-EB0-007,PREPARATION OF FEASIBILITY STUDIES AND DETAILED DESIGNS FOR FAECAL SLUDGE SERVICE CHAIN MANAGEMENT,https://www.afdb.org/en/projects-and-operations/p-ug-eb0-007,18-Dec-2018,,Afrique,technologie,oui,non,65,2026-08-31T10:00:53.980Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
d84e869275db,BAD - Banque Africaine de Développement,international,P-SD-AAZ-009,DAL GROUP CO LTD(FOOD AND AGRICULTURAL INVESTMENT PROGRAMME),https://www.afdb.org/en/projects-and-operations/p-sd-aaz-009,14-Dec-2018,,Afrique,agriculture,oui,non,65,2026-08-31T10:00:53.980Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_agriculture, consultant_agro, ingenieur_agronome, expert_afrique_ouest"
9e3a09c1a430,BAD - Banque Africaine de Développement,international,P-LR-HAB-002,TRADE FINANCE LINE OF CREDIT INTERNATIONAL BANK LIBERIA LIMITED,https://www.afdb.org/en/projects-and-operations/p-lr-hab-002,14-Dec-2018,,Afrique,"technologie, finance, commerce",oui,non,65,2026-08-31T10:00:53.980Z,Tout public,Confirmé,Non spécifié,Normale,3,"expert_tech, consultant_digital, developpeur, it_manager, expert_finance, consultant_finance, comptable, auditeur, expert_commerce, consultant_export, business_dev, expert_afrique_ouest"
04b8bd011a00,BAD - Banque Africaine de Développement,international,P-LR-HAB-001,TRADE FINANCE LINE OF CREDIT LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT,https://www.afdb.org/en/projects-and-operations/p-lr-hab-001,14-Dec-2018,,Afrique,"technologie, finance, commerce",oui,non,65,2026-08-31T10:00:53.981Z,PME,Confirmé,Non spécifié,Normale,2,"expert_tech, consultant_digital, developpeur, it_manager, expert_finance, consultant_finance, comptable, auditeur, expert_commerce, consultant_export, business_dev, expert_afrique_ouest, consultant_pme, accompagnement_startup"
aa84cbb6a1a2,BAD - Banque Africaine de Développement,international,P-Z1-FA0-162,SUPPLEMENTARY FINANCING : ETHIOPIA - KENYA ELECTRICITY HIGHWAY (KENYA),https://www.afdb.org/en/projects-and-operations/p-z1-fa0-162,14-Dec-2018,,Afrique,technologie,oui,non,65,2026-08-31T10:00:53.981Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
